timestamp, name, utilization.gpu [%], utilization.memory [%]
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:09.849, Tesla V100-SXM2-16GB, 100 %, 16 %
2021/06/22 11:32:09.850, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:09.850, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:09.851, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:09.852, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:09.852, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:09.853, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:09.854, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:10.928, Tesla V100-SXM2-16GB, 100 %, 16 %
2021/06/22 11:32:10.930, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:10.931, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:10.933, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:10.934, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:10.936, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:10.937, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:10.939, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:12.074, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:12.078, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:12.082, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:12.085, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:12.087, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:12.090, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:12.092, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:12.095, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:13.186, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:13.187, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:13.188, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:13.188, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:13.189, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:13.190, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:13.191, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:13.191, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:14.260, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:14.261, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:14.262, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:14.263, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:14.263, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:14.264, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:14.265, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:14.265, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:15.366, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:15.367, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:15.367, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:15.368, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:15.369, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:15.379, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:15.380, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:15.381, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:16.499, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:16.500, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:16.501, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:16.502, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:16.503, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:16.504, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:16.505, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:16.506, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:17.607, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:17.608, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:17.609, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:17.610, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:17.611, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:17.612, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:17.613, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:17.613, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:18.737, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:18.739, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:18.741, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:18.743, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:18.756, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:18.758, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:18.759, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:18.761, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:19.905, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:19.907, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:19.909, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:19.911, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:19.924, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:19.927, Tesla V100-SXM2-16GB, 0 %, 0 %
